conv1_out,conv2_out,stride,kernel_size,padding,optimizer,lr,momentum,batch_size,epochs,val_accuracy
16,64,1,5,1,SGD,0.01,0.0,32,5,0.8847777777777778
16,64,1,5,1,SGD,0.01,0.0,64,5,0.8527777777777777
16,64,1,5,1,SGD,0.01,0.5,16,5,0.906
16,64,1,5,1,SGD,0.01,0.5,32,5,0.8906666666666667
16,64,1,5,1,SGD,0.01,0.5,64,5,0.8798888888888889
16,64,1,5,1,SGD,0.01,0.9,16,5,0.8982222222222223
16,64,1,5,1,SGD,0.01,0.9,32,5,0.9153333333333333
16,64,1,5,1,SGD,0.01,0.9,64,5,0.9123333333333333
16,64,1,5,2,SGD,0.001,0.0,16,5,0.8396666666666667
16,64,1,5,2,SGD,0.001,0.0,32,5,0.8111111111111111
16,64,1,5,2,SGD,0.001,0.0,64,5,0.7561111111111111
16,64,1,5,2,SGD,0.001,0.5,16,5,0.8578888888888889
16,64,1,5,2,SGD,0.001,0.5,32,5,0.8341111111111111
16,64,1,5,2,SGD,0.001,0.5,64,5,0.7965555555555556
16,64,1,5,2,SGD,0.001,0.9,16,5,0.9025555555555556
16,64,1,5,2,SGD,0.001,0.9,32,5,0.8932222222222223
16,64,1,5,2,SGD,0.001,0.9,64,5,0.8671111111111112
16,64,1,5,2,SGD,0.01,0.0,16,5,0.9022222222222223
16,64,1,5,2,SGD,0.01,0.0,32,5,0.8796666666666667
16,64,1,5,2,SGD,0.01,0.0,64,5,0.8697777777777778
16,64,1,5,2,SGD,0.01,0.5,16,5,0.911
16,64,1,5,2,SGD,0.01,0.5,32,5,0.9032222222222223
16,64,1,5,2,SGD,0.01,0.5,64,5,0.8836666666666667
16,64,1,5,2,SGD,0.01,0.9,16,5,0.9086666666666666
16,64,1,5,2,SGD,0.01,0.9,32,5,0.9184444444444444
16,64,1,5,2,SGD,0.01,0.9,64,5,0.9138888888888889
32,32,1,3,1,SGD,0.001,0.0,16,5,0.8252222222222222
32,32,1,3,1,SGD,0.001,0.0,32,5,0.7933333333333333
32,32,1,3,1,SGD,0.001,0.0,64,5,0.76
32,32,1,3,1,SGD,0.001,0.5,16,5,0.8451111111111111
32,32,1,3,1,SGD,0.001,0.5,32,5,0.8256666666666667
32,32,1,3,1,SGD,0.001,0.5,64,5,0.7977777777777778
32,32,1,3,1,SGD,0.001,0.9,16,5,0.8987777777777778
32,32,1,3,1,SGD,0.001,0.9,32,5,0.8844444444444445
32,32,1,3,1,SGD,0.001,0.9,64,5,0.8593333333333333
32,32,1,3,1,SGD,0.01,0.0,16,5,0.8964444444444445
32,32,1,3,1,SGD,0.01,0.0,32,5,0.8814444444444445
32,32,1,3,1,SGD,0.01,0.0,64,5,0.8647777777777778
32,32,1,3,1,SGD,0.01,0.5,16,5,0.9044444444444445
32,32,1,3,1,SGD,0.01,0.5,32,5,0.8976666666666666
32,32,1,3,1,SGD,0.01,0.5,64,5,0.881
32,32,1,3,1,SGD,0.01,0.9,16,5,0.9187777777777778
32,32,1,3,1,SGD,0.01,0.9,32,5,0.9106666666666666
32,32,1,3,1,SGD,0.01,0.9,64,5,0.9127777777777778
32,32,1,3,2,SGD,0.001,0.0,16,5,0.8281111111111111
32,32,1,3,2,SGD,0.001,0.0,32,5,0.8084444444444444
32,32,1,3,2,SGD,0.001,0.0,64,5,0.7637777777777778
32,32,1,3,2,SGD,0.001,0.5,16,5,0.851
32,32,1,3,2,SGD,0.001,0.5,32,5,0.8232222222222222
32,32,1,3,2,SGD,0.001,0.5,64,5,0.7988888888888889
32,32,1,3,2,SGD,0.001,0.9,16,5,0.8932222222222223
32,32,1,3,2,SGD,0.001,0.9,32,5,0.8784444444444445
32,32,1,3,2,SGD,0.001,0.9,64,5,0.8696666666666667
32,32,1,3,2,SGD,0.01,0.0,16,5,0.8922222222222222
